영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Garissa Airport,게리싸 공항,GAS,HKGA,아프리카,Kenya,케냐,Garissa
Garoua International Airport,가루아 국제공항,GOU,FKKR,아프리카,Cameroon,카메룬,Garoua
Garowe International Airport,가로웨 국제공항,GGR,HCMW,아프리카,Somalia,소말리아,Garowe
Gary/Chicago International Airport,게리 시카고 국제공항,GYY,KGYY,북미,United States of America,미국,Gary
Marinduque Airport,마링두케 공항,MRQ,,아시아,Philippines,필리핀,Gasan
Gaspe Metropolitan Area Airport,가스페 공항 ,YGP,CYGP,북미,Canada,캐나다,Gaspe
Qassim Prince Nayef bin Abdulaziz International Airport,가심 지역공항,ELQ,OEGS,중동,Saudi Arabia,사우디아라비아,Gassim ( (al Qasim )
Gatineau-Ottawa Executive Airport,가티노 오타와 공항,YND,,북미,Canada,캐나다,Gatineau
Gatokae Airport,개토케이 비행장,GTA,,대양주,Solomon Islands,솔로몬제도,Gatokae
Gaua Airport,가우아 공항,ZGU,,대양주,Vanuatu,바누아투,Gaua Island
Gaya Airport,가야 공항,GAY,VEGY,아시아,India,인도,Gaya
Gaziantep Oguzeli Airport,오굴젤리 공항,GZT,LTAJ,유럽,Turkey,터키,Gaziantep
Gazipasa Airport,가지파사 공항,GZP,LTFG,유럽,Turkey,터키,Gazipasa
Gdansk Lech Walesa Airport,레히 바웨사 공항 ,GDN,EPGD,유럽,Poland,폴란드,Gdansk
Geita Airport,게이타 공항,GIT,,아프리카,Tanzania,탄자니아,Geita
Gelendzhik Airport,겔렌즈지크 공항,GDZ,URKG,유럽,Russian Federation,러시아,Gelendzhik
Gelephu Airport,겔레푸 공항,GLU,,아시아,Bhutan,부탄,Gelephu
Gemena Airport,제메나 공항,GMA,FZFK,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Gemena
Geneina Airport,제네이나 공항,EGN,HSGN,아프리카,Sudan,수단,Geneina
General Pico Airport,제너럴피코 공항,GPO,SAZG,중남미,Argentina,아르헨티나,General Pico
General Santos International Airport,부야안 공항,GES,RPMR,아시아,Philippines,필리핀,General Santos
Geneva Airport,제네바 국제공항 ,GVA,LSGG,유럽,Switzerland,스위스,Geneva
Genoa Cristoforo Colombo Airport,크리스토포로 콜롬보 공항 ,GOA,LIMJ,유럽,Italy,이탈리아,Genoa
George Airport,죠지 공항,GRJ,FAGG,아프리카,South Africa,남아프리카,George
George Town Exuma International Airport,익졈마 국제공항,GGT,MYEF,중남미,Bahamas,바하마,George Town
Ascension Island Wideawake Field,와이데아와케 필드 ,ASI,FHAW,아프리카,Ascension Island,아센시온아일랜드,Georgetown
Georgetown Cheddi Jagan International Airport,체디 자간 국제공항 ,GEO,SYCJ,중남미,Guyana,가이아나,Georgetown
Geraldton Airport (Australia),제럴턴 공항,GET,YGEL,대양주,Australia,오스트레일리아,Geraldton
Geraldton Airport (Canada),제랄튼 공항 ,YGQ,CYGQ,북미,Canada,캐나다,Geraldton
Girona Costa Brava Airport,지로나 코스타 브라바 공항,GRO,LEGE,유럽,Spain,스페인,Gerona
Gethsemani Airport,게체마니 공항,ZGS,,북미,Canada,캐나다,Gethsemani
Qarn Alam Airport,콴알람 공항,RNM,OOGB,중동,Oman,오만,Ghaba
Ghadames Airport,가담스 이스트 공항,LTD,,아프리카,Libya,리비아,Ghadames
Ghardaia Noumerate Airport,뉴머레이트 공항  ,GHA,DAUG,아프리카,Algeria,알제리,Ghardaia
Ghat Airport,갓 공항,GHT,,아프리카,Libya,리비아,Ghat
Hindon Airport,힌돈 공항,,VIDX,아시아,India,인도,Ghaziabad
Ghazni Airport,가즈니 공항,GZI,OAGN,중동,Afghanistan,아프카니스탄,Ghazni
Gheshm Airport (Qeshm Airport),게셤 공항 (케셤 공항),GSM,OIKQ,중동,Iran,이란,Gheshm
Mascara Ghriss Airport,기리스 공항,MUW,DAOV,아프리카,Algeria,알제리,Ghriss
Gibraltar International Airport,노스 프론트 공항,GIB,LXGB,유럽,Gibraltar,지브롤터,Gibraltar
Gilgit Airport,길깃 공항,GIL,OPGT,아시아,Pakistan,파키스탄,Gilgit
Gillam Airport,길램 공항,YGX,,북미,Canada,캐나다,Gillam
Northeast Wyoming Regional Airport,질레트 캠벨 카운티 공항,GCC,KGCC,북미,United States of America,미국,Gillette
Gisborne Airport,기즈번 공항,GIS,NZGS,대양주,New Zealand,뉴질랜드,Gisborne
Gisenyi Airport,기센이 공항,GYI,,아프리카,Rwanda,르완다,Gisenyi
Jazan Regional Airport,기잔 지역공항,GIZ,OEGN,중동,Saudi Arabia,사우디아라비아,Gizan ( Jizan / Jazan )
Gizo Nusatupe Airport,누사투페 공항,GZO,AGGN,대양주,Solomon Islands,솔로몬제도,Gizo Island
Gjoa Haven Airport,조아 하븐 공항,YHK,CYHK,북미,Canada,캐나다,Gjoa Haven
Gjogur Airport,조구르 공항,GJR,BIGJ,유럽,Iceland,아이슬란드,Gjogur
Gladstone Airport,글래드스톤 공항,GLT,YGLA,대양주,Australia,오스트레일리아,Gladstone
Glasgow Valley County Airport,워컬 글래스고 국제공항,GGW,KGGW,북미,United States of America,미국,Glasgow
Glasgow Airport,글래스고 국제공항 ,GLA,EGPF,유럽,United Kingdom,영국,Glasgow
Glasgow Prestwick Airport,프레스트윅 공항,PIK,EGPK,유럽,United Kingdom,영국,Glasgow
Dawson Community Airport,도슨 커뮤니티 공항,GDV,KGDV,북미,United States of America,미국,Glendive
Gloucester/Cheltenham Gloucestershire Airport,글로스터셔 공항,GLO,EGBJ,유럽,United Kingdom,영국,Gloucester
Goa Dabolim International Airport,다보림 공항,GOI,VAGO,아시아,India,인도,Goa
Goba Robe Airport,고바 공항,GOB,HAGB,아프리카,Ethiopia,이디오피아,Goba
Gode/Iddidole Airport,고드 공항,GDE,HAGO,아프리카,Ethiopia,이디오피아,Gode
Gods Narrows Airport,가즈 레이크 내로우즈 공항,YGO,,북미,Canada,캐나다,Gods Lake Narrows
Gods River Airport,갓스리버 공항,ZGI,,북미,Canada,캐나다,Gods River
Goiania International Airport Iris Rezende Machado,산타 제노베바 공항,GYN,SBGO,중남미,Brazil,브라질,Goiania
Gold Coast Airport,쿨랑가타 공항,OOL,YBCG,대양주,Australia,오스트레일리아,Gold Coast
Golfito Airport,골피토 공항,GLF,MRGF,중남미,Costa Rica,코스타리카,Golfito
Golmud Airport,거얼무  공항,GOQ,ZLGM,아시아,China,중국,Golmud
Golovin Airport,골로빈 공항,GLV,,북미,United States of America,미국,Golovin
Goma Airport,고마 국제공항,GOM,FZNA,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Goma
Gombe Lawanti International Airport,곰베 라반티 국제공항,GMO,DNGO,아프리카,Nigeria,나이지리아,Gombe
Gomel Airport,고멜 공항,GME,UMGG,유럽,Belarus,벨로루시,Gomel
Gondar Airport,곤다르 공항,GDQ,HAGN,아프리카,Ethiopia,이디오피아,Gondar
Goodnews Bay Airport,굿뉴스베이 공항,GNU,,북미,United States of America,미국,Goodnews
Goose Bay Airport,구즈베이 공항,YYR,CYYR,북미,Canada,캐나다,Goose Bay
Gorakhpur Airport,고라크푸르 공군기지,GOP,VEGK,아시아,India,인도,Gorakhpur
Gordon Municipal Airport,고든 공항,GRN,,북미,United States of America,미국,Gordon
Gorgan Airport,고간 공항,GBT,OING,중동,Iran,이란,Gorgan
Gorge Harbor Airport,협곡 하버 공항,YGE,,북미,Canada,캐나다,Gorge Harbour
Gorna Oryahovitsa Airport,고르나오레쵸비사 공항,GOZ,LBGO,유럽,Bulgaria,불가리아,Gorna Oryahovitsa
Gorno-Altaysk Airport,고르노알타이스크 공항,RGK,UNBG,유럽,Russian Federation,러시아,Gorno-Altaysk 
Goroka Airport,고로카 공항,GKA,AYGA,대양주,Papua New Guinea,파푸아뉴기니,Goroka
Gorontalo Jalaluddin Airport,톨로티오 공항,GTO,WAMG,아시아,Indonesia,인도네시아,Gorontalo
Gostomel Antonov Airport,고스멜 공항,GML,UKKM,유럽,Ukraine,우크라이나,Gostomel
Gothenburg Landvetter Airport,란베터 공항,GOT,ESGG,유럽,Sweden,스웨덴,Gothenburg
Gothenburg Save Airport,사에프 공항,GSE,ESGP,유럽,Sweden,스웨덴,Gothenburg
Fukue Airport,고토 후쿠에 공항,FUJ,RJFE,아시아,Japan,일본,Goto
Guelmim Airport,굴임 공항,GLN,GMAG,아프리카,Morocco,모로코,Goulimime
Gove Nhulunbuy Airport,누휼런바이 공항  ,GOV,YPGV,대양주,Australia,오스트레일리아,Gove
Governador Valadares Airport,고바라도르 발라다레스 공항,GVR,SBGV,중남미,Brazil,브라질,Governador Valadares
Governor's Harbour Airport,거버너스 하버 공항,GHB,MYEM,중남미,Bahamas,바하마,Governor's Harbour
Goya Airport,고야 공항,OYA,SATG,중남미,Argentina,아르헨티나,Goya
Gracias Lempira Celaque Airport,그라시아스 렘피라 셀라크 공항,GAC,MGHS,중남미,Honduras,온두라스,Gracias
Graciosa (Azores) Airport,그라치오사 공항,GRW,LPGR,유럽,Portugal,포르투갈,Graciosa Island
Grafton Airport,그래프턴 공항,GFN,YGFN,대양주,Australia,오스트레일리아,Grafton
Los Roques Airport,로스 로케스 공항,LRV,SVRS,중남미,Venezuela,베네수엘라,Gran Roque Island
Granada Federico Garcia Lorca Airport,그라나다 공항,GRX,LEGR,유럽,Spain,스페인,Granada
Grand Canyon National Park Airport,그랜캐년 내셔널 파크 공항,GCN,KGCN,북미,United States of America,미국,Grand Canyon
Grand Cayman Island Owen Roberts International Airport,오웬 로버츠 국제공항,GCM,MWCR,중남미,Cayman Islands,케이맨제도(영국),Grand Cayman Island
Grand Forks International Airport,그랜드포크스 국제공항,GFK,KGFK,북미,United States of America,미국,Grand Forks
Central Nebraska Regional Airport,센트럴 네브라스카 지역공항,GRI,KGRI,북미,United States of America,미국,Grand Island
Grand Junction Regional Airport,워커 필드 공항,GJT,KGJT,북미,United States of America,미국,Grand Junction
Grand Rapids Gerald R Ford International Airport,제랄드 R. 포드 국제공항,GRR,KGRR,북미,United States of America,미국,Grand Rapids
Grand Turk Island Airport,그랜드터크 국제공항,GDT,MBGT,중남미,Turks and Caicos Islands,터크스 케이커스제도,Grand Turk Island
Grande Prairie Airport,그랜드프레리 공항,YQU,CYQU,북미,Canada,캐나다,Grande Prairie
Grants Pass Airport,그랜트 패스 공항,GTP,,북미,United States of America,미국,Grants Pass
Grayling Airport,그레이링 공항,KGX,,북미,United States of America,미국,Grayling
Graz Airport,탤러호프 공항,GRZ,LOWG,유럽,Austria,오스트리아,Graz
Great Bend Municipal Airport,그레이트벤드 시공항,GBD,KGBD,북미,United States of America,미국,Great Bend
Great Falls International Airport,그레이트폴스 국제공항,GTF,KGTF,북미,United States of America,미국,Great Falls
Green Bay Austin Straubel International Airport,오스튼 스트로벨 필드 공항,GRB,KGRB,북미,United States of America,미국,Green Bay
Piedmont Triad International Airport,피드몬트 트라이얏 국제공항,GSO,KGSO,북미,United States of America,미국,Greensboro
Greenville Mid Delta Regional Airport,미드 델타 지역공항,GLH,KGLH,북미,United States of America,미국,Greenville
Greenville-Spartanburg International Airport,그린빌 스파르탄버그 공항,GSP,KGSP,북미,United States of America,미국,Greenville
Pitt-Greenville Airport,피트 그린빌 공항,PGV,KPGV,북미,United States of America,미국,Greenville
Appleton International Airport,아웃가미 카운티 지역공항,ATW,KATW,북미,United States of America,미국,Greenville / Appleton
Greenwood-Leflore Airport,그린우드 레플러 공항,GWO,,북미,United States of America,미국,Greenwood
Greenwood County Airport,그린우드 군 공항,GRD,KGRD,북미,United States of America,미국,Greenwood
Grenoble Alpes Isere Airport,생 쥐아즈 공항,GNB,LFLS,유럽,France,프랑스,Grenoble
Munster Osnabruck International Airport,먼스토 오스나브룩 국제공항,FMO,EDDG,유럽,Germany,독일,Greven
Griffith Airport,그리피스 공항,GFF,YGTH,대양주,Australia,오스트레일리아,Griffith
Grimsey Airport,그림지 공항,GRY,BIGR,유럽,Iceland,아이슬란드,Grimsey
Grise Fiord Airport,그리즈피요 공항,YGZ,,북미,Canada,캐나다,Grise Fiord
Groningen Eelde Airport,엘데 공항,GRQ,EHGG,유럽,Netherlands,네덜란드,Groningen
Groote Eylandt Airport,알리앵굴라 공항,GTE,YGTE,대양주,Australia,오스트레일리아,Groote Eylandt
Grosseto Airport,코라도 바카리니 공항,GRS,LIRS,유럽,Italy,이탈리아,Grosseto
Grozny Airport,그로즈니 공항,GRV,URMG,유럽,Russian Federation,러시아,Grozny
Grumeti Airport,그루메티 공항,GTZ,,아프리카,Tanzania,탄자니아,Grumeti Game Reserve
Out Skerries Airport,아웃스케리 공항,OUK,,유럽,United Kingdom,영국,Grunay Island
Guadalajara Miguel Hidal Airport,미구엘 히달고 공항,GDL,MMGL,중남미,Mexico,멕시코,Guadalajara
Guanaja Airport,과나자 공항,GJA,MHNJ,중남미,Honduras,온두라스,Guanaja
Guanambi Airport,관남비 공항,GNM,SNGI,중남미,Brazil,브라질,Guanambi
Guangyuan Panlong Airport,광원판롱 공항,GYS,ZUGU,아시아,China,중국,Guangyuan
Guangzhou Baiyun International Airport,바이윤 공항,CAN,ZGGG,아시아,China,중국,Guangzhou
Guantanamo Los Canos Airport,로스 카노스 공항,GAO,,중남미,Cuba,쿠바,Guantanamo
Guapi Airport,과피 공항,GPI,SKGP,중남미,Colombia,콜롬비아,Guapi
Guarapari Airport,과라파리 공항,GUZ,SNGA,중남미,Brazil,브라질,Guarapari
Guarapuava  Airport,탄크레도 토마즈 파리아 공항,GPB,SGBU,중남미,Brazil,브라질,Guarapuava
Guasdualito Airport,바레 마리아 공항,GDO,SVGD,중남미,Venezuela,베네수엘라,Guasdualito
Guatemala City La Aurora International Airport,라 아우로라 공항,GUA,MGGT,중남미,Guatemala,과테말라,Guatemala City
Guayaquil Jose Joaquin de Olmedo Airport,시몬 볼리바 국제공항,GYE,SEGU,중남미,Ecuador,에콰도르,Guayaquil
Guayaramerin Airport,캡틴 데 Av 에밀리오 벨트랑 공항,GYA,SLGM,중남미,Bolivia,볼리비아,Guayaramerin
Guaymas General Jose Maria Yanez Airport,제너럴 호세 M. 야네즈 공항  ,GYM,MMGM,중남미,Mexico,멕시코,Guaymas
Guernsey Airport,건지 공항,GCI,EGJB,유럽,Guernsey,건지,Guernsey
Guerrero Negro Airport,게레로네그로 공항,GUB,MMGR,중남미,Mexico,멕시코,Guerrero Negro
Guilin Liangjiang International Airport,구이린  리엥쟝 국제공항,KWL,ZGKL,아시아,China,중국,Guilin
Guiyang Longdongbao International Airport,구이양  롱둥바오 공항,KWE,ZUGY,아시아,China,중국,Guiyang
Gulbarga Kalaburagi Airport,칼라부라기 공항,GBI,VOGB,아시아,India,인도,Gulbarga 
Gulf Shores International Airport,에드워즈 공항,GUF,KJKA,북미,United States of America,미국,Gulf Shores
Gulfport-Biloxi International Airport,걸포트 빌록시 국제공항,GPT,KGPT,북미,United States of America,미국,Gulfport
Gulu Airport,굴루 공항,ULU,HUGU,아프리카,Uganda,우간다,Gulu
Gunnison Crested Butte Regional Airport,거니선 카운티 공항,GUC,KGUC,북미,United States of America,미국,Gunnison
Gunsan Airport,군산 공항,KUV,RKJK,아시아,South Korea,대한민국,Gunsan
Gunungsitoli Binaka Airport,비나카 공항,GNS,WIMB,아시아,Indonesia,인도네시아,Gunung Sitoli
Golog Maqin Airport,골로그 마친 공항,GMQ,ZLGL,아시아,China,중국,Guoluo
Gurayat Airport,궈리아잇트 국내공항,URY,OEGT,중동,Saudi Arabia,사우디아라비아,Gurayat
Gustavus Airport,구스타브 공항,GST,PAGS,북미,United States of America,미국,Gustavus
Guwahati Lokpriya Gopinath Bordoloi Airport,보리쟈 공항,GAU,VEGT,아시아,India,인도,Guwahati
Guyuan Liupanshan Airport,구위안 류판산 공항,GYU,ZLGY,아시아,China,중국,Guyuan
Gwadar International Airport,과다르 국제공항,GWD,OPGD,아시아,Pakistan,파키스탄,Gwadar
Gwalior Airport,관리오르 공항  ,GWL,VIGR,아시아,India,인도,Gwalior
Gwangju Airport,광주 공항,KWJ,RKJJ,아시아,South Korea,대한민국,Gwangju
Gyor-Per Airport,지오 퍼 공항,,LHPR,유럽,Hungary,헝가리,Gyor Per
Gyumri Shirak International Airport,쉬락 국제공항,LWN,UDSG,유럽,Armenia,아르메니아,Gyumri
Ha'apai Airport,살롯 파일뢸레뷰 공항,HPA,NFTL,대양주,Tonga,통가,Ha'Apai
Hachijo Jima Airport,하치조이지마 공항,HAC,RJTH,아시아,Japan,일본,Hachijojima
Hagerstown Regional Airport,행거스타운 지역공항,HGR,KHGR,북미,United States of America,미국,Hagerstown
Hagfors Airport,하그포스 공항,HFS,ESOH,유럽,Sweden,스웨덴,Hagfors
Moroni Prince Said Ibrahim International Airport,프린드 사디브라힘 국제공항,HAH,FMCH,아프리카,Comoros,코모로,"Hahaya , Moroni"
Haifa Airport,하이파 국제공항 ,HFA,LLHA,중동,Israel,이스라엘,Haifa
Haikou Hainan Meilan International Airport,하이커우 메일런 국제공항,HAK,ZJHK,아시아,China,중국,Haikou
Hail Airport,하일 지역공항,HAS,OEHL,중동,Saudi Arabia,사우디아라비아,Ha'il
Hulunbuir Hailar Airport,하이라얼 둥샨 공항,HLD,ZBLA,아시아,China,중국,Hailar
Sun Valley Friedman Memorial Airport,프라이드먼 미모리얼 공항,SUN,KSUN,북미,United States of America,미국,Hailey
Haines Municipal Airport,하인스 시공항,HNS,PAHN,북미,United States of America,미국,Haines
Hai Phong Cat Bi Airport,카트비 공항,HPH,VVCI,아시아,Vietnam,베트남,Haiphong
Hakodate Airport,하코다테 공항,HKD,RJCH,아시아,Japan,일본,Hakodate
Halifax Stanfield International Airport,핼리팩스 로버트 스탠필드 국제공항 ,YHZ,CYHZ,북미,Canada,캐나다,Halifax
Hall Beach Airport,홀 비치 공항,YUX,CYUX,북미,Canada,캐나다,Hall Beach
Halls Creek Airport,홀스크릭 공항,HCQ,YHLC,대양주,Australia,오스트레일리아,Halls Creek
Halmstad Airport,할름스타드 공항,HAD,ESMT,유럽,Sweden,스웨덴,Halmstad
Hamadan Airport,하마단 공항,HDM,OIHH,중동,Iran,이란,Hamadan
Hamburg Airport Helmut Schmidt,풀쉬비텔 공항,HAM,EDDH,유럽,Germany,독일,Hamburg
Hamburg Finkenwerder Airport,함부르크 핀켄베르더 공항,XFW,EDHI,유럽,Germany,독일,Hamburg
Hamburg Lubeck Blankensee Airport,블랑켄지이 공항,LBC,EDHL,유럽,Germany,독일,Hamburg / Lubeck
Hami Airport,하미 공항,HMI,ZWHM,아시아,China,중국,Hami (Kumul)
Hamilton Airport,해밀턴 공항,HLT,YHML,대양주,Australia,오스트레일리아,Hamilton
Hamilton International Airport,해밀턴 국제공항,HLZ,NZHN,대양주,New Zealand,뉴질랜드,Hamilton
John C. Munro Hamilton International Airport,존 C. 먼론 해밀턴 공항,YHM,CYHM,북미,Canada,캐나다,Hamilton
Hamilton Island Airport,헤밀튼아일랜드 공항,HTI,YBHM,대양주,Australia,오스트레일리아,Hamilton Island
Hammerfest Airport,함메르페스트 공항,HFT,ENHF,유럽,Norway,노르웨이,Hammerfest
Hana Airport,하나 공항,HNM,PHHN,북미,United States of America,미국,Hana
Hancock Houghton County Memorial Airport,휴턴 카운티 미모리얼 공항,CMX,KCMX,북미,United States of America,미국,Hancock
Handan Airport,한단 공항,HDG,ZBHD,아시아,China,중국,Handan
Hangzhou Xiaoshan International Airport,항저우  지오샨 국제공항,HGH,ZSHC,아시아,China,중국,Hangzhou
Hanimaadhoo Airport,해니마두후 공항,HAQ,VRMH,아시아,Maldives,몰디브,Hanimaadhoo Island
Hanoi Noi Bai Airport,노이 바이 공항,HAN,VVNB,아시아,Vietnam,베트남,Hanoi
Hannover Airport,하노버 랭젠히겐 국제공항,HAJ,EDDV,유럽,Germany,독일,Hanover
Allentown Lehigh Valley International Airport,리하이 밸리 국제공항,ABE,KABE,북미,United States of America,미국,"Hanover Township, Lehigh County / Allentown"
Hanzhong Chenggu Airport,한중  공항,HZG,ZLHZ,아시아,China,중국,Hanzhong
Hao Island Airport,하오 공항,HOI,NTTO,대양주,French Polynesia,프랑스령폴리네시아,Hao Island
Harare Robert Gabriel Mugabe International Airport,하라레 국제공항,HRE,FVHA,아프리카,Zimbabwe,짐바브웨,Harare
Harbin Taiping International Airport,하얼빈  타이팽 국제공항,HRB,ZYHB,아시아,China,중국,Harbin
Hargeisa Egal International Airport,하르게이사 공항,HGA,HCMH,아프리카,Somalia,소말리아,Hargeisa
Harlingen Valley International Airport,밸리 국제공항,HRL,KHRL,북미,United States of America,미국,Harlingen
Boone County Regional Airport,분 카운티 공항,HRO,KHRO,북미,United States of America,미국,Harrison
Harstad-Narvik Evenes Airport,에베네스 공항,EVE,ENEV,유럽,Norway,노르웨이,Harstad-Narvi
Hartford Brainard Airport,브레인아드 공항,HFD,KHFD,북미,United States of America,미국,Hartford
Hassi Messaoud Oued Irara Airport,우에드 이라야 공항  ,HME,DAUH,아프리카,Algeria,알제리,Hassi Messaoud
Hassi R'Mel Airport,틸럽트 공항,HRM,DAFH,아프리카,Algeria,알제리,Hassi R'Mel
Hasvik Airport,하스비크 공항,HAA,ENHK,유럽,Norway,노르웨이,Hasvik
Hat Yai International Airport,햇야이 국제공항,HDY,VTSS,아시아,Thailand,태국,Hat Yai / Songkhla
Khatgal Airport,카트갈 공항,HTM,,아시아,Mongolia,몽고,Hatgal
Hattiesburg-Laurel Regional Airport,해티스버그 로렐 지역공항,PIB,KPIB,북미,United States of America,미국,Hattiesburg
Haugesund Airport,카모이 공항 ,HAU,ENHD,유럽,Norway,노르웨이,Haugesund
Havana Jose Marti International Airport,호세 마르티 국제공항,HAV,MUHA,중남미,Cuba,쿠바,Havana
Havana Playa Baracoa Airport,플리야 바라코아 공항,UPB,,중남미,Cuba,쿠바,Havana
Havre City County Airport,하브르 시티 카운티 공항,HVR,KHVR,북미,United States of America,미국,Havre
Havre St. Pierre Havre Saint Pierre Airport,하버 생 피에르 공항,YGV,CYGV,북미,Canada,캐나다,Havre-Saint-Pierre
Los Angeles Hawthorne Municipal Airport,호톤 시공항 ,HHR,KHHR,북미,United States of America,미국,Hawthorne
Hay River Airport,헤이리버 공항,YHY,CYHY,북미,Canada,캐나다,Hay River
Yampa Valley Regional Airport,얌파 밸리 공항,HDN,KHDN,북미,United States of America,미국,Hayden
Hays Regional Airport,헤이즈 지역공항,HYS,KHYS,북미,United States of America,미국,Hays
Hayward Executive Airport,헤이워드 이그젝큐티브 공항,HWD,KHWD,북미,United States of America,미국,Hayward
Healy Lake Airport,힐리레이크 공항,HKB,,북미,United States of America,미국,Healy Lake
Cincinnati/Northern Kentucky International Airport,신시내티 노던 켄터키 국제공항,CVG,KCVG,북미,United States of America,미국,Hebron
Hechi Jinchengjiang Airport,허츠 진청장 공항,HCJ,ZGHC,아시아,China,중국,Hechi
Hefei Xinqiao International Airport,허페이  루와강 국제공항,HFE,ZSOF,아시아,China,중국,Hefei
Heho Airport,헤호 공항,HEH,VYHH,아시아,Myanmar,버마,Heho
Heihe Aihui Airport,헤이허  공항,HEK,ZYHE,아시아,China,중국,Heihe
Helena Regional Airport,헬레나 리저널 공항,HLN,KHLN,북미,United States of America,미국,Helena
Heligoland Duene Airport,헬리고랜드 듀네 공항,HGL,EDXH,유럽,Germany,독일,Helgoland
Angelholm/Helsingborg Airport,앙헬름 헬싱보리 공항,AGH,ESTA,유럽,Sweden,스웨덴,Helsingborg
Helsinki-Vantaa Airport,헬싱키 반타 공항,HEL,EFHK,유럽,Finland,핀란드,Helsinki
Helsinki-Malmi Airport,헬싱키 말미 공항,HEM,EFHF,유럽,Finland,핀란드,Helsinki
Hemavan Airport,히마밴 공항,HMV,ESUT,유럽,Sweden,스웨덴,Hemavan
Hengchun Airport,헝춘 공항,HCN,RCKW,아시아,Taiwan,대만,Hengchung
Hengyang Nanyue Airport,헝양  공항,HNY,ZGHY,아시아,China,중국,Hengyang
Heraklion Nikos Kazantzakis Airport,니코스 카잔카키스 공항,HER,LGIR,유럽,Greece,그리스,Heraklion
Herat Airport,헤랏 공항,HEA,OAHR,중동,Afghanistan,아프카니스탄,Herat
Heringsdorf Airport,헤링스도르프 공항,HDF,EDAH,유럽,Germany,독일,Heringsdorf
Hermosillo Pesqueira Garcia Airport,제네럴 페스케이라 가르시아 공항  ,HMO,MMHO,중남미,Mexico,멕시코,Hermosillo
Hervey Bay Airport,허비베이 공항,HVB,YHBA,대양주,Australia,오스트레일리아,Hervey Bay
Range Regional Airport,레인지 리저널 공항,HIB,KHIB,북미,United States of America,미국,Hibbing
High Level Footner Lake Airport,하이레벨 공항,YOJ,CYOJ,북미,Canada,캐나다,High Level
Donyi Polo Airport,도니 폴로 공항,HGI,VEHO,아시아,India,인도,Higleig
Punta Cana International Airport,푼타카나 국제공항,PUJ,MDPC,중남미,Dominican Republic,도미니카공화국,Higuey / Punta Cana
Kardla Airport,카르들라 공항,KDL,EEKA,유럽,Estonia,에스토니아,Hiiumaa
Izumo Airport,이즈모 공항,IZO,RJOC,아시아,Japan,일본,Hikawa
Hikueru Airport,히쿠에루 공항,HHZ,,대양주,French Polynesia,프랑스령폴리네시아,Hikueru-Tuamotu Islands/Chisholm
Hilo International Airport,힐로 국제공항,ITO,PHTO,북미,United States of America,미국,Hilo
Hilton Head Island Airport,힐튼 헤드 공항,HHH,KHXD,북미,United States of America,미국,Hilton Head Island
Hiroshima Airport,히로시마 국제공항,HIJ,RJOA,아시아,Japan,일본,Hiroshima
Hisar Airport,히사르 공항,HSS,VIHR,아시아,India,인도,Hissar
Atuona Airport,아투오나 공항,AUQ,NTMN,대양주,French Polynesia,프랑스령폴리네시아,Hiva Oa Maranesas
Ho Chi Minh City Tan Son Nhat Airport,탄 손 낫 공항 ,SGN,VVTS,아시아,Vietnam,베트남,Ho Chi Minh City
Hobart Airport,호바트 국제공항,HBA,YMHB,대양주,Australia,오스트레일리아,Hobart
Lea County Regional Airport,리어 카운티 지역공항,HOB,KHOB,북미,United States of America,미국,Hobbs
Hodeida Airport,호데이다 국제공항,HOD,,중동,Yemen,예멘,Hodeidah
Hoedspruit Airport,호스프루트 공항,HDS,FAHS,아프리카,South Africa,남아프리카,Hoedspruit
Chongjin Orang Airport,청진오랑공항,RGO,,아시아,North Korea,북한,Hoemun-ri
Hof Plauen Airport,호프 플라벤 공항,HOQ,EDQM,유럽,Germany,독일,Hof / Navaria
Hornafjordur Airport,호나표드르 공항,HFN,BIHN,유럽,Iceland,아이슬란드,Hofn
Hohhot Baita International Airport,호홋 바이타  국제공항,HET,ZBHH,아시아,China,중국,Hohhot
Hokitika Airport,호키티카 비행장,HKK,NZHK,대양주,New Zealand,뉴질랜드,Hokitika
Holguin Frank Pais Airport,프랭크 페이스 공항,HOG,,중남미,Cuba,쿠바,Holguin
Huolingol Huolinhe Airport,홀링골 후오린허 공항,HUO,ZBHZ,아시아,China,중국,Holingol
West Michigan Regional Airport,툴립 시티 공항,,KBIV,북미,United States of America,미국,Holland
North Perry Airport,노스 페리 공항,HWO,KHWO,북미,United States of America,미국,Hollywood
Ulukhaktok Airport,우루카톡 홀먼 공항,YHI,CYHI,북미,Canada,캐나다,Holman Island
Holy Cross Airport,홀리 크로스 공항,HCR,,북미,United States of America,미국,Holy Cross
Homer Airport,호머 공항,HOM,,북미,United States of America,미국,Homer
Homalin Airport,호말린 공항,HOX,,아시아,Myanmar,버마,Hommalinn
Hong Kong International Airport,홍콩 국제공항  ,HKG,VHHH,아시아,Hong Kong,홍콩,Hong Kong
Hongyuan Airport,홍원 공항,AHJ,ZUHY,아시아,China,중국,Hongyuan
Honiara Henderson International Airport,헨더슨 국제공항,HIR,AGGH,대양주,Solomon Islands,솔로몬제도,Honiara
