영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Makin Airport,마킨 공항,MTK,NGMN,대양주,Kiribati,키리바시,Makin
Makkovik Airport,마키토빅 공항,YMN,,북미,Canada,캐나다,Makkovik
Penghu Airport,마공 공항,MZG,RCQC,아시아,Taiwan,대만,Makung
Makurdi Airport,마쿠르디 공군기지,MDI,DNMK,아프리카,Nigeria,나이지리아,Makurdi
Malabo Santa Isabel Airport,산타 이사벨 공항,SSG,FGSL,아프리카,Equatorial Guinea,적도 기니,Malabo
Malacca International Airport,바투 베렌둠 공항,MKZ,WMKM,아시아,Malaysia,말레이시아,Malacca
Monroe Regional Airport,말라드시티 공항,MLU,KMLU,북미,United States of America,미국,Malad City
Malaga Airport,말라가 공항 ,AGP,LEMG,유럽,Spain,스페인,Malaga
Malakal Airport,말라칼 공항,MAK,HSSM,아프리카,South Sudan,남수단,Malakal
Malang Airport,압둘 라흐만 살레 공항,MLG,WARA,아시아,Indonesia,인도네시아,Malang
Malanje Airport,말랑지 공항,MEG,FNMA,아프리카,Angola,앙골라,Malange
Malargue Airport,코모도로 리카르도 살로몬 공항,LGS,SAMM,중남미,Argentina,아르헨티나,Malargue
Malatya Erhac Airport,말라티아 에르학 공항,MLX,LTAT,유럽,Turkey,터키,Malatya
Malda Airport,말다 공항,LDA,VEMH,아시아,India,인도,Malda
Male Velana International Airport,메일 국제공항,MLE,VRMM,아시아,Maldives,몰디브,Male
Mali Losinj Airport,로시니 국제공항,LSZ,,유럽,Croatia,크로아티아,Mali Losinj
Malindi Airport,말린디 공항,MYD,HKML,아프리카,Kenya,케냐,Malindi
Malmo Airport,스투럽 공항,MMX,ESMS,유럽,Sweden,스웨덴,Malmo
Taroa Island Maloelap Airport,타로아 섬 말로엘랍 공항,MAV,,대양주,Marshall Islands,마셜제도,Maloelap Island
Malololailai Airport,말로로라이라이 공항,PTF,,대양주,Fiji,피지,Malolo Lailai
Malta International Airport,말타국제공항 ,MLA,LMML,유럽,Malta,몰타,Malta
Malta Montana Airport,몰타 몬태나 공항,MLK,,북미,United States of America,미국,Malta
Salen-Trysil Scandinavian Mountains Airport,스칸디나비아 산맥 공항,SCR,ESKS,유럽,Sweden,스웨덴,Malung-Salen 
Mamburao,맘부라오 공항,MBO,,아시아,Philippines,필리핀,Mamburao
Mamitupo Airport,마미투포 공항,MPI,,중남미,Panama,파나마,Mamitupo
Mammoth Lakes Mammoth Yosemite Airport,마모스 요세미티 공항,MMH,,북미,United States of America,미국,Mammoth Lakes
Mamuju Airport,탐파 파당 공항,MJU,WAAJ,아시아,Indonesia,인도네시아,Mamuju
Man Airport,만 공항,MJC,DIMN,아프리카,Cote d'Ivoire,코트디부아르,Man
Mana Island Airstrip,마나아일랜드 공항,MNF,,대양주,Fiji,피지,Mana Island
Manado Sam Ratulangi Airport,삼 라투라기 국제공항,MDC,WAMM,아시아,Indonesia,인도네시아,Manado
Managua Augusto Cesar Sandino Airport,아우구스토 C. 산디모 공항 ,MGA,MNMG,중남미,Nicaragua,니카라과,Managua
Mananara Airport,마내넌 노르드 공항,WMR,,아프리카,Madagascar,마다가스카르,Mananara Nord
Mananjary Airport,마나냐리 공항,MNJ,FMSM,아프리카,Madagascar,마다가스카르,Mananjary
Manassas Airport,마나사스 공항,MNZ,,북미,United States of America,미국,Manassas
Manaung Airport,마나웅 공항,MGU,,아시아,Myanmar,버마,Manaung
Manaus Eduardo Gomes International Airport,에두와르토 고메즈 국제공항,MAO,SBEG,중남미,Brazil,브라질,Manaus
Manchester Airport,맨체스터 국제공항,MAN,EGCC,유럽,United Kingdom,영국,Manchester
Manchester-Boston Regional Airport,맨체스터-보스톤 지역 공항 ,MHT,KMHT,북미,United States of America,미국,Manchester
City Airport and Heliport (Manchester),바튼 공항 비행장,,EGCB,유럽,United Kingdom,영국,Manchester
Mandalay International Airport,안니사톤 공항,MDL,VYMD,아시아,Myanmar,버마,Mandalay
Mandera Airport,만데라 공항,NDE,HKMA,아프리카,Kenya,케냐,Mandera
Mangaia Island Airport,망가이아 공항,MGS,,대양주,Cook Islands,쿡 군도,Mangaia
Mangaluru International Airport,바즈페 공항,IXE,VOML,아시아,India,인도,Mangalore
Mangrove Cay Clarence A. Bain Airport,맹그로브 케이 클라렌스 A. 베인 공항,MAY,,중남미,Bahamas,바하마,Mangrove Cay
Manhattan Regional Airport,맨해튼 지역공항,MHK,KMHK,북미,United States of America,미국,Manhattan
Manicore Airport,마니코레 공항,MNX,SWMY,중남미,Brazil,브라질,Manicore
Maniitsoq Heliport,매니스톡 공항,JSU,,유럽,Greenland,그린란드,Maniitsoq
Manila Ninoy Aquino International Airport,니노이 아퀴노 국제공항,MNL,RPLL,아시아,Philippines,필리핀,Manila
Maningrida Airport,마닝그리다 공항,MNG,YMGD,대양주,Australia,오스트레일리아,Maningrida
Manistee Blacker Airport,마니스티 루딩턴 공항,MBL,KMBL,북미,United States of America,미국,Manistee
Manitowoc Municipal,매니토웍 시공항,MTW,,북미,United States of America,미국,Manitowoc
Manizales La Nubia Airport,산타구이다 공항,MZL,SKMZ,중남미,Colombia,콜롬비아,Manizales
Manja Airport,만자 공항,MJA,,아프리카,Madagascar,마다가스카르,Manja
Manley Hot Springs Airport,맨리핫스프링스 공항,MLY,,북미,United States of America,미국,Manley Hot Springs
Mannheim City Airport,만하임 시티 공항,MHG,EDFM,유럽,Germany,독일,Mannheim
Manokotak Sea Plane Base,마노코탁 해상 비행기 기지,KMO,,북미,United States of America,미국,Manokotak
Manokwari Rendani Airport,렌다리 공항,MKW,WAUU,아시아,Indonesia,인도네시아,Manokwari
Manono,마노노 공항,MNO,,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Manono
Mansa Airport,만사 공항,MNS,FLMA,아프리카,Zambia,잠비아,Mansa
Mansfield Lahm Regional Airport,람 시공항,MFD,KMFD,북미,United States of America,미국,Mansfield
Manta Eloy Alfaro International Airport,엘로이 알파로 국제공항,MEC,SEMT,중남미,Ecuador,에콰도르,Manta
Manus Island Momote Airport,모모테 공항,MAS,AYMO,대양주,Papua New Guinea,파푸아뉴기니,Manus Island
Manzanillo Sierra Maestra Airport,시에라 마에스트라 공항,MZO,MUMZ,중남미,Cuba,쿠바,Manzanillo
Manzanillo Playa de Oro International Airport,플라야 데 오로 국제공항,ZLO,MMZO,중남미,Mexico,멕시코,Manzanillo
Manzhouli Xijiao Airport,만저우리 시자오 공항,NZH,ZBMZ,아시아,China,중국,Manzhouli Xijao
Manzini Matsapha International Airport,매츠파 국제공항,MTS,FDMS,아프리카,Eswatini,에스와티니,Manzini
Sikhuphe King Mswati III International Airport,식후페 킹 음스와티 3 국제공항,SHO,FDSK,아프리카,Eswatini,에스와티니,Manzini
Maota Savai'i Island Airport,마오타사바일아일랜드 공항,MXS,NSMA,대양주,Samoa,사모아,Maota Savail Island
Maple Bay,메이플베이,YAQ,,북미,Canada,캐나다,Maple Bay
Maputo International Airport,마푸토 국제공항,MPM,FQMA,아프리카,Mozambique,모잠비크,Maputo
Mar Del Plata Astor Piazzolla Airport,아스토 피아졸라 국제공항,MDQ,SAZM,중남미,Argentina,아르헨티나,Mar del Plata
Maraba Airport,마라바 공항,MAB,SBMA,중남미,Brazil,브라질,Maraba
Maracaibo La Chinita Airport,라 치니타 공항,MAR,SVMC,중남미,Venezuela,베네수엘라,Maracaibo
Maracay Mariscal Sucre Airport,엘 리베르타도 공군기지,MYC,SVBS,중남미,Venezuela,베네수엘라,Maracay
Maradi Airport,마라디 공항,MFQ,,아프리카,Niger,니제르,Maradi
Sahand Airport,사한드 공항,ACP,OITM,중동,Iran,이란,Maragheh
Marakei Airport,마라케이 공항,MZK,NGMK,대양주,Kiribati,키리바시,Marakei
Florida Keys Marathon International Airport,플로리다 키스 마라톤 국제공항,MTH,KMTH,북미,United States of America,미국,"Marathon, FL"
Marau Sound Airport,마라우 공항,RUS,,대양주,Solomon Islands,솔로몬제도,Marau
Mardin Airport,마르딘 공항,MQM,LTCR,유럽,Turkey,터키,Mardin
Mare Airport,라 로쉐 공항,MEE,NWWR,대양주,New Caledonia,뉴칼레도니아,Mare
Mareeba Airport,마리바 공항,MRG,YMBA,대양주,Australia,오스트레일리아,Mareeba
Margate Airport,마르게이트 공항,MGH,FAMG,아프리카,South Africa,남아프리카,Margate
Maribor Airport,마리보르 공항,MBX,LJMB,유럽,Slovenia,슬로베니아,Maribor
Mariehamn Airport,메리함 공항,MHQ,EFMA,유럽,Finland,핀란드,Mariehamn
Marilia Frank Miloye Milenkowichi Airport,닥터 구아스토 바이디잘 공항,MII,SBML,중남미,Brazil,브라질,Marilia
Maringa Silvio Name Junior Regional Airport,마링가 국내공항,MGF,SBMG,중남미,Brazil,브라질,Maringa
Marion Veterans Airport of Southern Illinois,윌리암슨 카운티 공항,MWA,KMWA,북미,United States of America,미국,Marion
Marion Municipal Airport,마리온 시립 공항,MNN,,북미,United States of America,미국,Marion
Mariscal Estigarribia Luis Maria Argana International Airport,마리스칼 에스티가리비아 공항,ESG,SGME,중남미,Paraguay,파라과이,Mariscal Estigarribia
Mariupol International Airport,마리우폴 공항,MPW,UKCM,유럽,Ukraine,우크라이나,Mariupol
Markovo Airport,마르코보 공항,KVM,,유럽,Russian Federation,러시아,Markovo 
Marmul Airport,마라물 공항,OMM,OOMX,중동,Oman,오만,Marmul
Maroantsetra Airport,머런스테라 공항,WMN,FMNR,아프리카,Madagascar,마다가스카르,Maroantsetra
Maroua Salak Airport,살람 공항,MVR,FKKL,아프리카,Cameroon,카메룬,Maroua
"Ua Pou, Marquesas Island Ua Pou Airport",우아 파우 공항,UAP,,대양주,French Polynesia,프랑스령폴리네시아,Marquesas Islands
Marquette Sawyer International Airport,소여 국제공항,MQT,KSAW,북미,United States of America,미국,Marquette
Marrakech Menara Airport,메나라 공항,RAK,GMMX,아프리카,Morocco,모로코,Marrakech
Marsa Alam International Airport,마사 알람 공항,RMF,HEMA,아프리카,Egypt,이집트,Marsa Alam
Marseille Airport,프로방스 공항,MRS,LFML,유럽,France,프랑스,Marseille
Marsh Harbour International Airport,마시 하버 국제공항,MHH,MYAM,중남미,Bahamas,바하마,Marsh Harbour
Marshall Airport,마셜 공항,MLL,PADM,북미,United States of America,미국,Marshall
Martha's Vineyard Airport,마서스 바인야드 공항,MVY,KMVY,북미,United States of America,미국,Martha's Vineyard
Martinsburg Eastern W.V. Regional Airport,이스턴 웨스트버지니아 지역공항 ,MRB,KMRB,북미,United States of America,미국,Martinsburg
Marudi Airport,마루디 공항,MUR,,아시아,Malaysia,말레이시아,Marudi
Mary Airport,메어리 공항,MYP,UTAM,아시아,Turkmenistan,투르크메니스탄,Mary
Mary's Harbour Airport,메리즈 하버 공항,YMH,CYMH,북미,Canada,캐나다,Mary's Harbour
Mara Lodges Airport,마라 로지스 공항,MRE,,아프리카,Kenya,케냐,Masai Mara
Masamba Andi Jemma Airport,안디 제마 공항,MXB,WAWM,아시아,Indonesia,인도네시아,Masamba
Masbate Airport,마스바트 공항,MBT,RPVJ,아시아,Philippines,필리핀,Masbate
Maseru Moshoeshoe International Airport,모슈슈 국제공항,MSU,FXMM,아프리카,Lesotho,레소토,Maseru
Mashhad Airport,마슈하드 국제공항 ,MHD,OIMM,중동,Iran,이란,Mashhad
Kumamoto Airport,구마모토 공항,KMJ,RJFT,아시아,Japan,일본,Mashiki
Mason City Municipal Airport,메이슨 시티 공항,MCW,KMCW,북미,United States of America,미국,Mason City
Massawa International Airport,마사와 국제공항,MSW,,아프리카,Eritrea,에리트레아,Massawa
Massena International Airport,리챠드스 필드 공항,MSS,KMSS,북미,United States of America,미국,Massena
Masset Airport,마셋 공항,ZMT,CZMT,북미,Canada,캐나다,Masset
Masterton Airport,마스터튼 비행장,MRO,NZMS,대양주,New Zealand,뉴질랜드,Masterton
Iwami Airport,이와미 공항,IWJ,RJOW,아시아,Japan,일본,Masuda
Matadi Airport,침프시 공항,MAT,,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Matadi
Mataiva Airport,마타이바 공항,MVT,NTGV,대양주,French Polynesia,프랑스령폴리네시아,Mataiva
Matak Airport,마탁 공항,MWK,WIOM,아시아,Indonesia,인도네시아,Matak Island
Matamoros Servando Canales Airport,제너랄 세르반도 캐널즈 국제공항,MAM,MMMA,중남미,Mexico,멕시코,Matamoros
Mataram Selaparang Airport,셀라파랑 공항,AMI,,아시아,Indonesia,인도네시아,Mataram
Taveuni Matei Airport,타베우니 아일랜드 공항,TVU,,대양주,Fiji,피지,Matei
Mati Imelda R. Marcos Airport,이멜다 R. 마르코스 공항,MXI,RPMQ,아시아,Philippines,필리핀,Mati
Matsumoto Airport,마츠모토 공항,MMJ,RJAF,아시아,Japan,일본,Matsumoto
Tokushima Awaodori Airport,토쿠시마 공항,TKS,RJOS,아시아,Japan,일본,Matsushige
Matsuyama Airport,마츠야마 /마쯔야마 공항,MYJ,RJOM,아시아,Japan,일본,Matsuyama
Inagua Airport,이나과 공항,IGA,MYIG,중남미,Bahamas,바하마,Matthew Town
Maturin Jose Tadeo Monagas International Airport,퀸콰이레 공항,MUN,SVMT,중남미,Venezuela,베네수엘라,Maturin
Mauke Island Airport,마우케 공항,MUK,,대양주,Cook Islands,쿡 군도,Mauke
Maumere Waioti Airport,와이오티 공항,MOF,WATC,아시아,Indonesia,인도네시아,Maumere
Maun Airport,마운 공항,MUB,FBMN,아프리카,Botswana,보츠와나,Maun
Maupiti Airport,모피티 공항,MAU,,대양주,French Polynesia,프랑스령폴리네시아,Maupiti
Mauritius Sir Seewoosagur Ramgoolam International Airport,서 씨우사구 람굴람 국제공항  ,MRU,FIMP,아프리카,Mauritius,모리셔스,Mauritius
Maulmyine Airport,몰미네 공항,MNU,,아시아,Myanmar,버마,Mawlamyine
Mayaguana Airport,마야과나 공항,MYG,MYMM,중남미,Bahamas,바하마,Mayaguana
Mayaguez Eugenio Maria de Hostos Airport,에우제니오 M. 데 호스토스 공항,MAZ,TJMZ,북미,Puerto Rico,푸에르토리코,Mayaguez
Mayo Airport,매요 공항,YMA,,북미,Canada,캐나다,Mayo
Mazamari Airport,낸시 플로어 공항,,SPMF,중남미,Peru,페루,Mazamari
Mazar-I-Sharif Airport,미자 공항,MZR,OAMS,중동,Afghanistan,아프카니스탄,Mazar
Mazatlan Rafael Buelna Airport,제너랄 라파엘 부엘나 공항  ,MZT,MMMZ,중남미,Mexico,멕시코,Mazatlan
Mbala,엠발라 공항,MMQ,,아프리카,Zambia,잠비아,Mbala
Mbandaka Airport,음반다카 공항,MDK,FZEA,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Mbandaka
M'Banza Congo Airport,엠반자콩고 공항,SSY,FNBC,아프리카,Angola,앙골라,Mbanza Congo
Mbeya Airport,엠베야 공항,MBI,HTMB,아프리카,Tanzania,탄자니아,Mbeya
